board_state,solution,moves
bwwwwwwxbbwwwwxxbbbbbwwwbbbbbbwwbbbbbbbwbbwbwbbwbbbbbbbbbbbbbbbb b,h8,h7 g7
bbbbbbbbbbwwwwxxbbbbbwwwbbbbbbwwbbbbbbbwbbwbwbbwbbbbbbbbbbbbbbbb b,h7,g7
xwwwbbbbbwwbbbbbxwbbbbbbwwbbbbbbwwwbbwbbbwbbbbwbbbwwwwbbbbbbbbbb b,a8,a6
wwwwwbxxwwwwbbbxwbwbwbbbwbbwbwbbwbbbbwwbwbwbwwwbwbbwwwwbwbwwwwwb w,h8,h7 g8
bbbbbbbxbwwwbbxwbwbbbwwbbwbbbwwbbbwwwwwbbwwwwwwbbwwwwwwxbbbbbbbx b,h2,h8 h1 g7
xbbwwbbwxbbbbbbwwwwbbwbwwwwwwbbwwbwwwwbwwwbwwbbwwxwwwwbwxwwwwwwx w,b2,a7 h1 a8
xwwwwwwxxwwwwwwxbwwwbwbbbwwbwbbbwwbwbbbbwbwwwbbbbbbbwwbbwbbbbbbb b,a8,a7 h8
xwwwwwwbxwwwwwwwbwwwbbwbbwwbbwbbwwbbwbbbwbbwwbbbbbbbwwbbwbbbbbbb b,a8,a7
wwwwwwwwbwwbwbbwwwwbwbbwwwbwbwbwxwbwwbbwxwwwbwbwxwwbbbwxbbbbbbbw b,h2,a4 a3 a2
bbbbbbbwbbwwwwbwbbbbbwbwbwbbwbbwbwbwbwbwbbwwwbbwbbbwwbbxwbwwwwxx w,h2,g1
bbbbbbbwbbwwwwbwbbbbbwbwbwbbwbbwbwbwbwbwbbwwwbwwbbbwwwwwwbwwwwxx b,h1,g1
wwbbwbxxwwbbbbbwwwbwwbbwwwbwbbbwwwbbwbwwwwbwwbwwwwwbbwwwwwwbbbww w,g8,h8
xbbbbbbbbbbbbwwbbbbbwbwbbbwbbbwbbbbbbwbbbbwbwbwbbwbwwwxwbbbbwwxx b,h1,g2 g1
xbbbbbxbwxbwwbxbwwbbwbwbwbwbbbwbwwbwwwwbwwwbwbbbbwbbbbbbwwwwwwwb b,a8,g7 b7
xbbbbbbbxwwwwwxxbwwbwbbbbwbwbbwbbwwbwbwwbwbbbwbbwwwbbbbbbwwwwwww b,a8,a7
wbbwwwxbwbbwwwxbwbwbbwwbwwbbwwwbwwbwwbwbwwbwwwwbbwwbbwwbbwbbbxwx b,f1,g7 h1 g8
wbbwwwxbwbbwwwxbwbwbbwwbwwbbwwwbwwbwwbwbwwbwwwwbbwwbbbwbbwbbbbww b,g8,g7
wwwwwwwwwbbwwwwwwbbbwwbwwbwbbwwwwbwwwbwwbbwwbwbwbxwwwbbwxxwwbbbw w,b2,a1
wwwwwwwwwwbwwwwwwwbbwwbwwwwbbwwwwwwwwbwwbwwwbwbwbwwwwbbwxxwwbbbw b,a1,b1
bbbbbbwwbbbbbwwwbwbwwwwwbwwbwwwwbwbbbwbwxwbbbbwwbwbwwwxwbwwbbwxx b,a3,g2 g1
xbbbbbbbxwwwwwbbwwwbbbbbwbwwbbwbwbwwbwwbwwwbbbwbwwwwwwbbwbbbbbbb b,a8,a7
xxbbwwwwwbbbwwwwwwwwbwwwwwwwwbbwwbwwbwbwwbwbwwwwwwbwwbwwwwwwwwww w,b8,a8
bbbbbbbxwwwwwbbbwwbwbbwbwwbbbwwbwwwbwbbbwwbwwbwbwxwbbwwbxwxbbbwb b,c1,b2 a1
xwwwwwwxbbbbbwxxbbbwwbwwbwbbwwwwbwbbbwwbbwwwbbbbbwwbwbbbbbbbbbbx w,h1,g7
bbbbbbbbbwwwwbbwbwwwbbwwbwwbbbwwbwbbwwwwbbbwwwwwbbwwwxxwbwwwwxxx b,h1,g2 f1 f2
bbbbbbbbbwwwwbbbbwwwbbwbbwwbbbwbbwbbwwwbbbbbwwwbbbwwwwxbbbbbbbxb b,g1,g2
wbbbbbbxwbbbbbxxwbbbbbbbwwwbbwbbwwbwbbwbwwbbwbwbwxwbbwbbxwwwwwwb w,h8,g7 b2 h7
xwwwwwxxxbbbwwwbwbbwbwwbwbwbwbwbwwbwbbbbwwbbwbwbwwwwbwwbbwwwwwwb b,a7,h8 g8
bbbxbwxxbwwwwwxwbwwwwwwwbbbwbwbwbwbbbbwwbwbbbwbwbwwbbbbbbwwwwwww b,d8,h8 g7 g8
xbbwwbbwxbbwbbbwbwbbwwbwwwwbwwwwbwbbbbbwbbwbbwwwxbbwwwwwwwwwwwww w,a7,a2 a8
xwwwwwwwbwwwwwwwbbwwwwwwbbbwwbwwbbbbwwwwbxbbwwbwxxbbbbwwxbbbbbww w,b2,b3 a1
wwwwwwwwwwwwbbbwwwwwwwbwwbwwwwbwwwwwwwbwwwwbwwbbwwbbbwbxwwwwwwwx w,h2,h1
bbbbbbwbwwwwwwwwwbbwwbwwbbwbbwwwbbbwwwbwbwbwwwwwbwwbwwxwbbbbbbbx b,h1,g2
bbbbbbxxwbbbbbxxwbbbbbxwwbbbbbwwwwbbwwwwwbbwwwwwwbbbbbwwwwwwwwww w,g6,g7 g8
bbwwwwwwbbbwwwwbbbbbwwwbbbwbbwwbbwwbwbwbbwwbwwbbbxwwbbbbbxwwwwww b,b1,b2
bbwwwwwwbbbwwwwwbbbbbwwwbbwbwwwwbbbwbwwwbwbwbwwwbbbbwwwxbbbwwwwx b,h1,h2
xbbbbbbbxwwwwbbwbbwwbwbwbbwwwbbbbbbbwbbbbbbbwwbbbxbbbbbbxwwwwwww b,a7,a8
wwwwwwwwbbbwwwbwbbwwwwwwxbbwwwbwwbbbwwbwwbbwbwwwwbbbbbwwxwwwwwww w,a5,a1
wbbbbbbbwwbbbbbbwwbbwbwbbwbbbbwbbwwbbbbbwwbwbwwbxwxbwwwxbwwwwwwx b,c2,h2 h1 a2
bwwwwbbwbbbbbbbwbwwwwwbwbwbwwwbwbwbwbwwwbbwbwwwwbxbwbwxxwwwwwwwx b,b2,g2 h2
bwwwwbbwbbbbbbbwbwwwwbbwbwbwbwbwbwbbbbwwbbbbwwbwbbbwbwxbwwwwwwwx w,h1,g2
wbbbwxxbwbbwwwxbwbwwwwwbwwbwwbwbwbwwwwwbwbwwbwwbwbbbwbwbwwwwwwbb b,g8,g7 f8
bbbbwwxxxbwbwwwbwwbwbwbbxwwbwbbbwwwbbbbbwwwbbbbbwwbbbbbbwwwbbbbb b,a7,h8 a5 g8
xwwwwwwxxxxwwwwbwwwwbwwbwwwwwbwbwwbwwbwbwwbbbbbbbwbbbbbbwwbbbbbb b,h8,a7 b7 c7
xwwwwwwbxxxwwwbbwwwwbbwbwwwwbbwbwwbbwbwbwwbbbbbbbwbbbbbbwwbbbbbb b,a8,a7 b7 c7
wwwwwwwwwwbbwbbwwbwwbwbwbbbwwbbwbbwbwbbwwwwwwwbwxxwwwwwwxwwwwwxw b,g1,a2 b2
wwwwwwwwwwbbwbbwwbwwbwbwbbbwwbbwbbwbwbbwwwwwbwbwxxwwwbbwxwwwwwbw b,a1,a2 b2
wwwwwwwwwwbbwbbwwbwwbwbwbbbwwbbwbbwbwbbwwwwwbwbwxxwwwbbwbbbbbbbw b,a2,b2
bbbbbbxxbbbbbbbbbwwbwwwwbbwwwbwwbbbwwbwwbbwbwwbwbwbwbbbwwwwwwwww w,h8,g8
xxwwwwwwbwwwwbbwbwwwwbbwbwwbbbwwbwwbbbwwbbbwbwbwbbbbwbwwbbbbbbbw b,a8,b8
xxwbbwwwxwwwwwwwwwwbwwwwwwwwwbwwwwwwbbwbwwwwbwbbxwbbbbbbwxwwwwbw b,b1,b8 a2 a7
xbxwwxxwwxwwwwwbwwbbbwbbbbwbbwbbbbwwbbbbbbbwbbbbbbbwwbbbbbbbbbbb b,a8,b7 g8 f8
wbwwwxxxwbwwwwxwwbwwwwwwwbwwwwwwwbwbwwwwwwbwwwwwwbwwwwwwbbbbbbbb b,h8,f8 g7
wbwwwwxxwbbbwwwwwbwwwwbwwbwwbwbwwbwbwwbwwwbwwwbwwbwwwwbwbbbbbbbb b,h8,g8
bbbbbbbbbbbbbbbbbbwbbwbbbbbwbbbbbbbbwwbwbbbwbwwwxwwbbwwxwwwwwwxx b,a2,h1 h2 g1
bbbbbbbxwwwwbbbwxwbbwbbwxwbbbwwwwwbbbbwwwwbbbwwwbbwwwwwxbbbbbbbx b,h1,h2 a6 a5
bbbbbbbxwwwwbbbwxwbbwbbwxwbbbwwwwwbbbbwwwwbbbbwwbbwwwwwwbbbbbbbb b,h8,a6 a5
wwbwwwwwwwbbwwbwwwwwbwwwwbwwwwwwwbwwbbwxwwwbwwbxwwwwbbbbwwwbbbbb b,h3,h4
wwwwwwwwwwwwwwwwwwbwwwwbwbwwwwbbwbwwwbbbwwwwbbbbwwwbbbxxwwwbbbbx w,h2,g2 h1
bbbbbbbbbwwbbbbwbwwbbbwwbwwwbwwwbwbbwwbwbwbbbwwwbwwbbxwwbbbbbbbx b,f2,h1
bwwwwwwwbwwwwbwwbwwwbwbwbwwbwbbwbwbwbwbwbwwwwbbwbwwwwbbwxbbbbbxx w,h1,g1
wwwwwwwwwbbbbbwwwbwwbwwwwbbwwwwwwwwbwwbwwwwwwbbwwbbwwwwwxxbbwwww w,b1,a1
bbwwwwxxbbbbbbwwbwbwbwwwbwwbwwbwbwbwbbbwbwwbbbwwxwwwwwwwxbbbbbbb b,g8,h8 a2
bbwwwwxxbbbbbbwwbwbwbwwwbwwbwwbwbwbwbbbwbbwbbbwwbwwwwwwwxbbbbbbb b,h8,g8
wwwwwwwwwwwwbbbwwbwwwbbwwbwwwbbwwbbbwwbwwbbbbwwwwbbwwwwwxxbbwwwb w,a1,b1
bbbbbbbbbbbbwbbxbbbbbbwwbbbbbbwwbbbbbbwwbbbbbbwwbbbbbbxwbbbbbbxx b,h7,g2
bbbbbbbbbbbbwbbbbbbbbbbwbbbbbbwwbbbbbbwwbbbbbbwwbbbbbbxwbbbbbbxx b,h1,g2
bbbwwwxxbbbbwwwwbwbwbbwwbwbbbwbwbwwbbwbwbwbbbbbwbbwwwwbwbbbbbbbb b,h8,g8
wwwwwwwxwwwwwwbxwwwbwbbbwwbwwwbwwwwwwbwwwwwbwwwwwwbbwwwwwwwwwwww w,h7,h8
wwwwwwwxbbbbbwxwbbwbwbwwbbwbbbwwbbbbbbwwbbwbbbwwbwbwwwwwbbbbbwwb b,h8,g7
bbbwwwxxbbwwwwwbbbbwwwwbbbbbwwwbbbbwbbbbbbwbbbwbbwwwbwwbbbbbbbwb b,h8,g8
bbwwwwwxwbbwwwwxwbbbwwwwbbbbwwwbbbwbbwwwbbbwbbwxbbwwwwbxbbbbbbbb b,h2,h8 h7 h3
bbbbbbbbwbbwwwwwwbbbwbwwbbbbbwwbbbwbbwwwbbbwbbwxbbwwwwbxbbbbbbbb b,h2,h3
wwwwwwwwwwwwwwwwbwbbwwbwxbwwwbbwbbbwbbbwxbwbwwwwxwbbbwwwxbbbbbbb w,a3,a2 a5
wwwwwwwwwwwwwwwwbwbbwwbwxbwwwbbwbbwwbbbwbbbbwwwwwbbbbwwwxbbbbbbb w,a1,a5
bbbbbbbxbbwwwwxxbbbbbwwwbwbbwwwwbwbbbwbwbwwwbbbwbwwwwbbwxwwwwwww b,a1,g7 h7
bbbbbbbbbbbwwwbbbbbwwbwbbbwwbwwbbwwbbbwbwwwbwbbbxwwwwwbbxbbbbbbb b,a1,a2
wwwwwwwbwwwwwwwwwwbwwwwbwwwbbwwbwwwwbwbbwwwwbbbbwwwbwbbxwwwwwwbx w,h1,h2
xbbbbbbxwwwwwwxwwwbwwwwwwbwbwwwwwbbwbwwwwbbwwbbwbbbbbbbwwwbwwwwx b,h1,g7 a8
bbbbbbbxbbwwwwxwbwbwwwwwbbwbwwwwbbbwbwwwbbbwwbbwbbbbbbbwwwbwwwwx b,h1,g7
bbbbbbbxbbwwwwxwbwbwwwwwbbwbwwwwbbbwbwwwbbbwwbbwbbbbbbbwwwbbbbbb b,h8,g7
wwwwwwwwwwwbwbwwwbwwwwbwwbbwwbwwbbbwwbwwbbwbwwbwxbbwwwwwxbbbbbbw w,a2,a1
bbbbbbbbbbbbbwbbbbbbbbbbbbbbwbbbwwwbbwbbwxwbbbbbwxwwwbbbxxwwwwbb b,a1,b2 b1 b3
bbbbbbbbbbbbbwbbbbbbbbbbbbbbwbbbwbbwbwbbwbwbbbbbwwwwwbbbxxwwwwbb b,a1,b1
wwwwwwwwwwbwwwwbwbwbwwwbwwbwwbwbwbwwwwbbwwwbwbbbwwwwbbxxxbbbbbxx w,h2,g2 g1
wwwwwwwwwwbwwwwwwbwbwwwwwwbwwbwwwbwwwwbwwwwbwbbwwwwwbbbwxbbbbbxx w,g1,h1
bbbbbbbbxbbbbbbbwwbbbbwbwwbbbbwbxwwwbbbbbwwbbbbbwxwwwwbbbbbbbbbw b,a4,a7 b2
wwwwwwwxbbbbbwxwwbbbwbwwwbbbwbbwwbwbbbwwwwbwbbwwwxwbwwwwxbbbbbbb b,a1,h8 b2 g7
wwwwwwwbbbbbbwwbwbbbwwwbwbbbwbbbwbwbbbwbwwbwbbwbwxwbwwwbxbbbbbbb b,a1,b2
wwwwwbxxwwbwbbbwwbwbwbbwwwbwwwbwwbwwwbwwwbwwwwbwwwwbwwwwwwwwwwww w,g8,h8
bbbbbbbxbwwwwbwwbwbbbwwwbwbbbwwwbwbbbbwwbwbwwwwwbbwwwwxxbwwwwwxx b,h8,g1 h2 g2
bbbbbbbbbwwwwbbbbwbbbbwbbwbbbwwbbwbbbbwbbwbwwwwbbbwwwwwbbwwwwwxx b,h1,g1
xwbbbbbbxxwbwbbbwbbwbwwbbbbwbbbbbbbwbbbbbbwbwbwbbbbwwwwbwbwwxwwb b,a8,a7 e1 b7
bbbbbbbbwxwbwbbbwwbwbwwbbbwwbbbbbbbwbbbbbbwbwbwbbbbwwwwbwbwwxwwb b,b7,e1
bbbbbbbbbbbbwbbbbbbwbbbbbbbbbbbbbbwbbwbbbwbwwbwbwwwwwwwbxxwwxxwb b,a1,b1 e1 f1
bbbbbbbbbbbbwbbbbbbwbbbbbbbbbbbbbbbbbwbbbwbbwbwbwwwwwwbbxxwwwbbb b,a1,b1
bbbbbbbbbbbwbbbwbbbbwbbwbbbbbwbwbbbbbbwwbbbbbbxwbbbbbbbxbbbbbbxb b,h2,g3
bxxbbwwbbbwwwwbbbwbbbbwbbwbbbwbbbbwbbbwbbwbbbbwbbwwwwwwbbwwwwbxx b,g1,b8 c8 h1
bbwwwwwbbbwwwwbbbwwbbbwbbwwbbwbbbbwbbbwbbwbbbbwbbwwwwwwbbwwwwbxx b,g1,h1
bbbbbbbbxbbbbbbbwwbbwwbbwwbbbbbbxbwbbbbbbwbbbbbbwxwwwbbbxwbbbbbb b,b2,a7 a4 a1
bbbbbbbbbbbbbbbwbbwwbbwwbbbwbbwwbbwbwbwwbwbwbwwwbbbbwwxxbbbwxwxx b,e1,h2 g1 g2
xxwwwwwwwxwwbbbbbwwwwwbwbbwbwwbwbbwwwwwwbbwbbbwwbbwbbwxwbbbbbbbx b,a8,h1 g2 b7
xxwwwwwwwxwwbbbbbwwwwwbbbbwbwwbbbbwwwwwbbbwbbwwbbbwbbwwbbbbbbbbb b,a8,b8 b7
bbbbbbbxbbwwwwxbwwwwwwbbwwbbbwbbxwbbbbbbwbbbwwbbbbbbbbbbbbbbbbbb b,a4,g7
wxxbbbbbbwwwwwwbbbwwwbbbbbwbwwbbbbwbbwwbbbbwbbwbwbbbwwbbbbbbbbbb b,c8,b8
wwwwwxxxbbbbwwxxbbbbwwwwbbbbwbwwbbwbbwbwbwbbbbwwwbbwwwbwbbbbbbbb b,g8,f8 g7 h7
wwwwwwbxwwwbwbxwwwwwbbbbwwwwwwwwwwwwwwwwwwwwwwbwwwbwwwwwwwwwwwww w,g7,h8
bbbbbbbbbbbwwbbbbbbwbbbbbbbbwwbwbbbwbwbwbbbwbbwwbbbbbwwwbbbbbwxx b,h1,g1
xbbbbbbbbxbwwwwwbbwbwbwwbwbwbwwwwwwbbwwwwwbbwbwwwxbbbwwwxbbbbbbb b,a1,b2 b7
xwwwwwwwbxbbbbbbbwwwbwbwbwbwwbwwbwbbbwwwbwbwbwwwbbwbwwxwbwwwwwxx b,h1,g2 b7 g1
xwwwwwwwbxbbbbbbbwwwbwbwbwbwwbwwbwbbbwwwbwbwbwwwbbwbwwwwbbbbbbbx b,h1,b7
xbbbbbbwxbbbwbbbbbbwwwbbbbwbbbbbbwwwwwbbwwbwbwbbwwwwwbbwbbbbbbbx w,h1,a7 a8
xbbbbbbwxbbbwbbbbbbwwwbbbbwbbbbbbwwwwwbbwwbwbwbbwwwwwbwwbbbbbbbw w,a8,a7
bbbbbbbwbbwwwwwwbbbbbbwwwbwwwwwwwbbbbbwwbbbwbbwwxxwbwbwwxwwwwwww w,a2,b2
bwwwwxxbbbbbbwxbbbbbbwwbbbbbbbwbbbbbbbbbbbwbwbwbbbbbwwwbwwwwwwwb b,g8,g7 f8
wbbbbbbbwwbbwwxbwbwbbbwbwwbwbbwbwwwbwwwbwwbwwwwbwwwbbwwxxwwwwwwx b,g7,a1 h2
bwwwwwwwbwwbbwwwbwwbwbwwbbbwbbwwbbbbwbbwbbbbbwbwbxbwwbbwxbbbbbbw w,a1,b2
xxbwwbbbwbbbbbbwwbbbbbbwwwbwbwbwwwbbwbbwbwbbbwbwxwwwwwwwxwbbbbbw b,a8,a1 a2
xxbbbbbwwbbbbbwwwbbwbwbwwbwbwbbwwbbwwwbwwbwwwwbwwwbwbbwwwwwwwwww w,b8,a8
xwwwwwwwwxwwbbbbwwbwbbbwwwbbwbwwwwbbwwwwwwbwbbwwwbwbbbxxbbbbbbbx w,g2,b7
xwwwwwwwwxwwbbbbwwbwbbbwwwbbwbwwwwbbwwwwwwbwbwwwwbwwwwwxbbbbbbbx b,h1,a8 h2 b7
bwwwwwwwbwwwbbbbbwwwbbbwbwbwwbwwbwbbwwwwbwbwbwwwbbwwwwwxbbbbbbbx b,h1,h2
bbbbbbbxbbwbbbxxbwbwbbwwbwbbbbwxbwwwbbwwbwwbwbwwbwwwwwwwbbbbbbbw b,h5,h7 g7
bbbbbbbxbbwbbbxwbwbwbbwwbwbbbwbbbwwwwbbwbwwwwbwwbwwwwwwwbbbbbbbw b,h8,g7
bxbbbbxxbxbbbbwwbbbbbbwbbwwwbwbbbwbbwwbbbwbbbwbbwwwwwbbbbbbwwwww b,h8,g8
bbwwwxxxbbwwwwxxbbwbbwwwbbwwbbwwbbbbwbbwbbbbbwbwbbbbbbwwbbbbbbbw b,g8,f8 g7 h7
bbbbbbwxbbwwbwxxbbwbwbwwbbwwbbwwbbbbwbbwbbbbbwbwbbbbbbwwbbbbbbbw b,h8,g7 h7
bbbbbbbbbbwwbwxxbbwbwbwwbbwwbbwwbbbbwbbwbbbbbwbwbbbbbbwwbbbbbbbw b,h7,g7
wbbbbbxxwwbbbbbbwwwbwbbbwbwwwbbbwbwwbbbbwwwbbbbbwwbwwbbbwbbbbbbb w,h8,g8
bbbbbbbbbbwbbbbbbbbwbwbbwbbbbwbbwwbbbbbbwwwwbbbbxxwwwwbbwwwwbbbb b,a2,b2
wwwwwwwwbwwbbbwwwwwwwwbwwwbwwbbwwwwwwbwwwwwbwbwwwwwwwwwwxxwbbbww b,a1,b1
bbbbbbwxbwwwbwwxbwwbwbwwbwwwbwwbbbwbwwwbbbbwwwwbbbbwbbwbbwwwwwww b,h8,h7
wwwwwwwwbbbwwwwwbbwbbwwwbbbwwwwwbbwwwbwwbbwbbwwwbwwwwwwwbwwxbbbx b,h1,d1
wwbbbbbbwwwwwwwwwwbwwbwwwwbbbwbwxwbbwwbwwwbwbwwwbwwbbbwwxwbbbbbb b,a1,a4
xwwwwwwwxxbwwbbwxbbwbbbwbbbbwwbwbbbbwwbwbbbwwbwwbbwwwbbwbwwwwwww w,a6,a7 b7
wwwwwwwwwbbbbbbbwbbwbwbwwbbbwbwwwbwwbwwwwwwbwwwwwxwwwwwxxxwwwwww b,h2,b2 b1
wwwwwwwwwbbbbbbbwbbwbwbwwbbbwbwwwbwwbwwwwwwbwwwwwxbwwwwxwwwwwwww b,b2,h2
xbbbbwwwxbbbbwwbbbbwwwbbbwbwbbbbbbwbbbbbbwbwbbbbwbbbbbbbwwwwwwwb w,a8,a7
wbwwwwwbwwwwwwwwwbbbbbwwwbwwbwbwwbbbwbwwwwbbbwwwwbwwwwwxbbbbbbbx b,h1,h2
xwwwwwbbxbbwwwwwbbwwbbwbbbbbbwbbbbbbbwbbbbbwwbbbwbwwbbbbbbwwwwxx b,a8,g1
wwwwwwxxbwwwwwwwbbwwbwwbbbwwwwbbbbwwwbbbbbbwbbbbbxbbwbbxbbbbbbbb b,h8,g8
wbbbwxxxwbbbwwxbwwwbbwwbwwwbbbwbwwbwbwbbwwwwwbwbbbbbbwwbbwwwwwwb b,g8,f8 g7
bbbbbbbxwwwwwbxxbwbbbbwwbbwbbwwwbwbwwbwwbwwbwwbwxwwbbbbbwxwwwwww w,a2,g7
bbbbbbbxwwwwwwwxbwbbbwwwbbwbwwwwbwbwwbwwbwwbwwbwxwwbbbbbwxwwwwww b,a2,h7 b1
bbbbbbbxwwwwwwwxwwbbwwwwwbwwwwwwwbwwwbwwwwwbwwbwwbbbbbbbwbwwwwww b,h8,h7
wbbbbbbbwwwwwwwbbbwbbwbbbbwwwbbbbbwwwwbbwwwwwwwbxxxwwwwbxwwwwwwb b,a1,c2 b2 a2
wwwwwwbwbbbbbbbbbbwbwwbbwwbwwbwbxwbwwwwbwwwbwwbbxwwwwbxbxbbbbbbx w,g2,h1
bbbbbbbbbwwwbwwxbwwwwwwbbwbbwbbbwwwwbwwbwwwbbwwbwwbwwwxbwwwwwwwx b,h7,g2
xxbbwwwbbbbbbbbbbbbwbbwbbwbbbwwbbwbbbbwbbwwwbbwbbxwbbbwbxwwwwwwb b,a1,b2
wxbbwwwbbwbbbbbbbbwwbbwbbwbwbwwbbwbbwbwbbwwwbwwbbxwbbbwbbbbbbbbb b,b8,b2
xbbbbxwxbwwwwwxwbbwwbbwwbwbbbwbwbwbbbwbwbbbbbbbwbbbbbbbwxwwwwwww b,a8,g7 f8
bbbbbxwxbbwwwwxwbbbwbbwwbwbbbwbwbwbbbwbwbbbbbbbwbbbbbbbwxwwwwwww b,f8,g7
xwwwwwwbxwwbwwwbbwbwbwbbbbbwbwwbbwbbwwbbwwbbwbbbwwbbbbxbwwwwwwwx b,a8,a7
wwwwwwbbwbbwwwxbwbbwbwwbwwwbbwwbwwwbbbwbwwwwbwwbxxwbwwwbxwwwwwww b,g7,b2 a2
wwwwwwbbwbbbbbbbwbbwbbwbwwwbbwwbwwbbbbwbwbwwbwwbbxwbwwwbxwwwwwww w,a1,b2
bbbbbbbbwwwwwwxwwwbwwwwbwwbbwwbxwwbwbwbwbwbbbbwwbwwwwbxwbbbbbbbx b,g2,h5 g7
xwwwwwwbxwwwwwbbwwwbwbwbxwbwbbwbxwwbbbwbwwbwbbwbbwbbwwwbwwbbbwwb b,a8,a7 a4 a5
bbbbbbbxbbwwbbxwbbbbbwwwbbbbwwbwbbbbbwbwbbbwbwwwbbbwwwwxwwwwwwbx b,h1,h2 g7
bbbbbbbxbbwwbbxwbbbbbwwwbbbbwwbwbbbbbwbwbbbwbbwwbbbwwwwwwwwwwwbb b,h8,g7
xbbbbbbwbbbbbbbwwwbwbbbwbbbbwbbwbbwbbwbwwbbwbbwwxxbbwwwwxxbbbbbb w,a8,b2 a2 b1
wwwwwwwwwwbbbbbwwwwwbbbwbbbwwbbwbbwbwwbwbbbwbwwwbxbbwwwwxxbbbbbb w,a1,b2 b1
bbbbbbbxwwwwwwxxwwbwbwbbwbwbwwbbwbwbbwbbwbbbbwwbwbwwwwwwbbbbbwxw b,g1,g7
xwwwwwwwxbbbbbwwbbbwwwwwbbwwwwbwbwbwwbwwbbwwbwbwbwbbwwwwwwwwwwww w,a7,a8
bbbbbbbbxxwbwbbbxwbwbbbbwbbbwbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb b,a7,b7 a6
xwwwwwwwxbbbbbwwxxbwwwbwxbbwwbwwwbwwwwwwwbwwwwbwwwbbbbwwwwwwwwww w,a7,b6 a8 a6
wbbbbwxxwwbbbbbwwbwwwbbwwbbwbwbwwwbbwwbwwwwwbwbwbwwwwbbwwwwwwbbx w,g8,h8 h1
bbbbbxwxbbwbbwwbbwbwwwbbbwbwbbwbbbbwbbbbbbbwbbwbbbbwbwbbbbbbbbbb b,f8,h8
xxbbbbbwbwwwwwwwbbwwbwbwbwbwwbwwbwbwwwwwbwwwwwwbbwwwwwwwwwwwwwww w,b8,a8
wwwbbbbbwwwwwwwwwbwwwbwwwbwwwwwwwbwwwwbwwbwbwwwwwwbbbbbbwbbbbbxx w,h1,g1
wbbbbbbbwwwwwbxbwwwbwwbbwwwbbwwbwwbwbbwbwbbbwwbbwbbbbwxbwwwwwwwx w,g7,g2
xbbbbbbbwwbwbbbbwwbbwbbbwwbbbbbbwwbbbbwbxwwbbwbbxwwwwbbbwwwwwwbb b,a8,a2 a3
bbbbbbbbbbbbwwbwbbwbwbwwbbwbbbbwwbwbbwwwwwbbbwwwwwwbbbxwxxwwwwww b,g2,a1 b1
bbbbbbbbbbbbwwbwbbwbwbwwbbwbbbbwwbwbbwbwwwbbbbbwwwwbbbbwxxwwwwww b,a1,b1
bbbbbbbbbbbbbbbxbbbbwbxbbbbwwwbbbbwbwbwbbbbbbwwbbbwwwwwbbbbbbbxx b,g6,g1 h1
bbbbbbbbbbbbbbbwbbbbwbwbbbbwwwbbbbwbwbwbbbbwbwwbbbwwwwwbbbbbbbxx b,h1,g1
wwwwwwwwwwwwwwwwwwwwbwwbwwbwwwwbwbwwwwbwwbwwwbbbwwwwbwbxwwwwwwwx w,h2,h1
bbbbbbbbbbwbbwwwbwbwbwwwbwbbwwbwbwbwwwbwbbwwwwwwbbbwwwwwbxbbwxxx b,g1,f1 h1
wbbbwwxbwbbbbwbbwbwbwbbbwbwwbbbbwwwbbbbbwwwbbbbbxxwbbbbbxxwbbbbb b,g8,b2 b1
bbbbwwwbbbbbbbbbbbbbbbbwbbbbbbbwbbwbbwbwbbwbwbbwxwwwwwbwxxwbwwxx b,g1,h1 a1 a2
xwwwwwwwxbbbwbwwbbbwbwbwbwwwwwwwbwwwbwbwbwwbwbwwbwwwbwwwwwwwwwww w,a7,a8
wwwwwwwxwxwbbwxxwwwwwwwwwwbwwwwwwwbwwbwwwbwwbwbwwbbbbbbbwbbbbbbb b,b7,g7 h7
bbbbbbwwbbwbwwwwbwbbbwwwbwwwwbwwbwbbwwbwbwbwbbbbbbwwwwbbbxxwwwbb b,b1,c1
xwbbbbbbxwwbbbbbwwbbbbbbwwbbwbbbwwwbbwbbwwwwbbbbwxwwwbbbxxwwwwbb b,a8,a7 b2 b1
xwbbbbbbxwwbbbbbwwbbbbbbwwbbwbbbwwwbbwbbwwbbbbbbwbwwwbbbbbbbbbbb b,a8,a7
wbbbbbxwwbbbbbwwwbbbbwbwwbbbwbbwwwwbbwbwwwbbbbbwwxxbbbbwxxwwwwww w,b2,c2 g8
wbbbbbxwwbbbbbwwwbbbbwwwwbbbwwbwwwwbwwbwwwwwbbbwwxwwwwwwxxwwwwww b,g8,b2
wwwwwwwxwwwbbwbxwwwwwbbbwwwwwwbbwwwwwbwbwwwbwwwwwwbwbwwwwwwwwwww w,h7,h8
bbbbbbbbbbbbwwwwbbbbbbxwbbwbbwwxbwbbbwwbbwbbwbwbbwwwwwbbbbbbbbbb b,h5,g6
bbbbbbbbbbwbbbbbbwbwbbbbbwwbwbbbbwwbbwbbbwbbbbwbbbwwwwxbbwwwwxxb b,g1,g2 f1
