board_state,solution,moves
xbbbbbbxxbwwwwwwbbbbwwwwwwwwwwwwwwwwwwwwwwwwbwwwwwwbwbwwwwwwwwww w,a7,a8
bwwwbbwwbwwwwwwwbwwwwwbwbwwwwbbwbwbwwbbwbbwwwwbwbxbbwbbbxxbbbbbw w,b2,b1
bwwwwwwwbbbbbbbbbbbwwbbbbbwbbwbbbbwbbbwbbbbwbbwbbbwbwwxbbwwwwwxb b,g1,g2
wwwwwwwxwbbwbwxbwbbbbwbbwbwbwwwbwbwbbwwbwbwbwbbbwbbbbbbbxbwwwwww w,g7,h8 a1
bbbbbbbxbbbbbbxwbbbbbwwwbbwbbwwwbbbbbbwwbbbbbbbwbbbwwbbbbbbbbbbb b,h8,g7
wxbwbbbxwbbbbbxbwbbwbwbbwbbbwbwbwbbwbwwbwbwwbwwbwbbbbwwxwbwwwwwx w,h8,b8 g7
bxbbwwxxbbbbwwwxbwbwwwwwbbwbwbbwbwbwwwbwbwwwwwwwbwwbwwwwbbbbbbbw b,h8,h7 g8
wxwwwwwwwwbbbwxwwbwbwwwwwbwwbbwwwbwbwbwwwwwbbwwwwxwwbbwwxwwwwwbb b,b8,a1 g7 b2
wbwwwwwwwbbbbbbwwbwbwbbwwbwwbbbwwbwbwbbwwwwbbwbwwxwwbbbwxwwwwwbb b,a1,b2
wwwwwwwwbbbbbbbbwbbwwwbbwwbbwwbwwwbbwwwwwwwwbwwwxxwbwbwxxwwwwwww b,h2,b2 a2
bwwwwwwxbwwbbwwxbwbwwwwwbwbwwbbwbwbbbbbwbwbbwwbwbwwbbbwwbwwwwwww b,h8,h7
bbbbbbbxwbwbwwxbwwbwwwbwwbwbwbwwwbwwbwwwwbwbwwwwwbbwbwwxwwwwwwww w,h8,g7
bbbbbbbwwbwbwwxwwwbwwwbwwbwbwbwwwbwwbwwwwbwbwwwwwbbwbwwxwwwwwwww b,g7,h2
bbwwwwxwwbwwwwwbwbbwbwbbwbwbwbbbwwbwbbbbwwwwwwbbxwbbbbbbxxbwwwbb b,g8,b1 a2
bbwwwwxwbbwwwwwbbbbwbwbbbbwbwbbbbwbwbbbbbbwwwwbbbwbbbbbbwxbwwwbb b,b1,g8
xxxwbbbbwwwbbbbwwwwbwbbwwwbwbwbbwwwbwbbbwwbwwwbbwbbbbbbbxxwwwwww w,c8,b1
wwwwwwwwwbbwbbbwwbbwbwbwwbwwwwbwwbbwbbbwwwwwwwwwwwwbbwxxwxwwwwwx b,b1,g2 h2
wwwwwwwwwbbwbbbwwbbwbwbwwbwwwwbwwbbwbbbwwbwbwwwwwbbbbwxxwbwwwwwx b,h1,h2 g2
wwwwwwwwwbbwbbbwwbbwbwbwwbwwwwbwwbbwbbbwwbwbwwbwwbbbbwxbwbwwwwwx w,g2,h1
bbbbbbxxbwwwwwwwbwwwwwxwbwwwwbbwbwwwwbwwbwbwbwwwbbbbwwwwbbbbbbbw b,g6,h8 g8
wwwwwwwwwwwwwwwwwwwwwwbwwwwwwwbwwwbbwwwwwwbbbwwwwwwbbxbwwwwwbxxx w,g1,f1 h1 f2
wwwwwwwwwwbwwwwbwbwbwwbbwwbbwbwbxwwbbbwbwwwwbbbbxbwwwbbbbbbbbbbb b,a2,a4
wbbbbbbbwbbbbbbxwbbbbbbwwbbbbbbwwbbbbwbwwbbwwbbwwbbbbbbwwbbbbbxx w,h1,h7 g1
wbbbbbbbwbbbbbbxwbbbbbbwwbbbbbbwwbbbbwbwwbbwwbbwwbbbbwbwwwwwwwwx w,h1,h7
wwwwwwwxwwbbwwwxwwwwbwbbwwwwbwbbwwwbwwwbwwbwbwbbwwwbbbxbbbbbbbbx b,h7,h8
wwwwwwxxwbbwwwxxwbbbbbbbwbwbbbbbwbbwbbwbwbwbwbwbwbbbbbbbwbxbbbwb w,c1,g7
wwwwwwbxwbbwwbxxwbbbbbbbwbwbbbbbwbbwbbwbwbwbwbwbwwwwbbbbwwwwwwwb w,h8,g7 h7
bbbbbbbwwwbbwbbwwwwwbwbwwbbwwbwwwbbwwwbwwbwbwwbwwwwwbbwwwxwwwbxw b,g1,b1
wbbbbwxxwbbbbbbbwwwwwbbbwbwwbbbbwbwbwbbbwbbwwbbbwbbbbbbbxwwwwwww w,g8,h8
bwwwwwwwbbbbbbbwbbbbbbbwbwbbbbbwbbwbbwbwbbbbbwwwwwwwwwwwwbwwwxxb b,g1,f1
xxwwbbbwbwwwwbbwwwwwbwbwwwbwwbbwwbwbbbbwwwbwbwwwwbwwwbwwwbbbbbbw b,a8,b8
xwwwwwwwxxwbbbwwwwwwwwwwbbbwwbwwbbwwbwbwbbwbwwwwbbbwwwwwbbbbwwxx b,h1,a7 b7 g1
bwwwwwwwbbwwwwwwbwbwwwwwbbwbwbwwbbwwbwbwbbwbwwwwbbbwwwwwbbbbwwxx b,h1,g1
bxxbwwwbxbbwwwwwbbbbwbwwbbbbwwbwbbbbbbbwbbwwwbbwbwwwwbbwxwwwwwww b,a1,c8
bxbbwwwbwwwwwwwwbwbbbbwwbbwbwbbwbbbwbbbwbbwwwbbwbwwwwbbwxwwwwwww b,a1,b8
wbbbbbbxbbbbbbbwwbwwwwwwwbbwbwbwwbwbwwbwwbbwbwbwwbwwwwwwxxwwwwww w,h8,a1
bbbbbbxxbbwwwwxxbwwbwwwwbbbwbbwwbbwwbwbwbwwwwbbwbwwwbbbwbwwwwwww b,g8,g7 h7
bbbbbbbxbbwwwwwxbwwbbwwwbbbbbbwwbbbwbwbwbbwwwbbwbwwwbbbwbwwwwwww b,h8,h7
bwwwwwwxbwwwwwwwbbbbwbwwbwwwwwwwbwbbbbbbbwbbwbbbwwwbbwxbbbbbbbbb b,g2,h8
wwwwwwbwwwbbwbbbwwwwbwbbwwwbwwbbwwbwbwbbxwwbwbwwxwwwwwwwbbbbbbbb b,a2,a3
bbbbbbwwbbbbbwwwbbbbwbwwbbwbbwwwbbbbbbwwbbbbwbwwbbwwbwwxwwwwwwwx b,h1,h2
wwwwwwxwwwbwwwwxbbbbwwwbxbbbwwbbbbwwbwwbbbwbbwbbbbbwwbxbwbbbbbbx w,g2,h1 a5
wwwwwwwwwbbwwbwwwbwwbwbwwwbbbwbbwbbbbwbbwwwwbbbbxwwwwbbbxwwwwwbb b,a1,a2
bwbbbbbbbxwbbbbbbbbwwbbbbwbbwwbbbwbbbwwbbbbbwwwwbbbbbbxxwwwwwwww b,b7,g2 h2
wxxwxwbbwwwwwwbbwwwwbwbbbbbbbwbbbbbbbwbbbbbwbwbbbbbbwwbbbwbbbbbb b,e8,b8 c8
wbbbbbbbwbbbbwwbwbwwwwwbwbbwwbwbwwwbbwbbwwwwwwbbwxwbwwwbwxwwwwwb b,b1,b2
wbbbbbbbbwbwwwbbbbwbbbwbbwwwwwbbbwbbwwbbbwbbbwwbbwwwwwwwbwwwwbxx b,h1,g1
xbbbbbbbbxbwwwwbbbwwbwwbbwwbbwbbbwbbwbwbbbbwbwwbbbbwwwwbxwwwwwww w,a1,b7
xbbbbbbbbxbbwwbwbbbbbbbbbwwbbwbbbwbwbwbbbbwwwbbbbbbbbbbxwwwwwwwx w,a8,h2 b7
wbbbbbbbwxbbwwbwwbbbbbbbwwwbbwbbwwbwbwbbwbwwwbbbwbbbbbbxwwwwwwwx w,b7,h2
wbbbbbbbwwwwwwbwwwbbbbbbwwwbbwbbwwbwbwbbwbwwwbbbwbbbbbbxwwwwwwwx w,h1,h2
xxbbbbbbxxbbwwwbwbbbbwwbwbbbwbwbwbbbbbwbwbbbbbbbwbbbbbbbwwwwwwwx w,b7,b8 a7
bxwwwwbwbxwbwbbwbwwwbwbwbbwbwwbwbwbwbbwwbbwwwwbwbwbwwbbwwwwwwwww b,b8,b7
wbwwwwwwwbbbbbbbbbwwwwbwwbwwwwbwwwwwwwbwwwwwbwbwxxwwbbwwxxxwbwww b,b1,a2 b2 c1
wbwwwwwwwbbbbbbbbbwwbwbwbbwbwbbwbwbwbwbwbbwbbwbwbxwwbbwwxbwwbwww w,b2,a1
wwwwwwwbwwwwwwbwwwbbwbwwwwbbbwwwwbbbwbwwwbbbbwwwwbbwwwxxxbbbbbxx b,g1,g2 h2
wxwwwwwwwwbbbbwwwbwbwbwwwbwwbwwwwwwwwbwwwwwwwwbwxwwwwbbwxxwwbbbw b,b8,a1 b1 a2
wbwwwwwwwbbbbbwwwbwbwbwwwbwwbwwwwwwwwbwwwwwwwwbwxwwwwbbwxxwwbbbw b,a1,b1 a2
wbwwwwwwwbbbbbwwwbwbbbwwwbwbbwwwwwbwwbwwwbwwwwbwbbbbbbbwxxwwbbbw w,b1,a1
xbwwwwxxbxbwwwwbbwwbwwwbbwwwbwwbbwwbbbwbbwbwwwwbwwwwwwwbbbbbbbbb b,b7,h8 g8
wwwwwwxxwwbwwwwbwbwbwwwbwbwwbwwbwbwbwbwbwbbwwwwbwbwwwwwbbbbbbbbb b,h8,g8
bbbbbbbbwwwwwwbbwwbwwbbbbwbbwbbbbwwwbwbbbwwwbbbbxwwwwwbbwwwwxxxb b,a2,e1 f1 g1
bxxwxbbbbxwwbwwbbwwbwwwbbwwwwwbbbwwwwbwbbwwwwbbbbwwwbbbbwwwwwwww b,e8,b8 b7 c8
